,LetterBody
Choroidal retinal neovascularization (disorder),104.91774891774892
Uveitis related cystoid macular edema (disorder),138.88444444444445
Fully accommodative esotropia (disorder),109.98660714285714
Malignant melanoma of choroid (disorder),241.83410138248848
Viral conjunctivitis (disorder),150.5906976744186
Epiphora (disorder),90.11214953271028
Panuveitis (disorder),173.36363636363637
Hypertropia (disorder),103.71573604060913
Fourth nerve palsy (disorder),121.63265306122449
Sequelae of injury of eye and orbit (disorder),111.34693877551021
Neoplasm of orbit proper (disorder),116.48453608247422
Corneal erosion (disorder),89.69587628865979
Postoperative cystoid macular edema (disorder),126.453125
Mature cataract (disorder),87.31052631578947
Retinal tear (disorder),89.23809523809524
Branch retinal vein occlusion with no neovascularization (disorder),118.25136612021858
Proliferative vitreoretinopathy (disorder),94.92817679558011
Idiopathic polypoidal choroidal vasculopathy (disorder),103.25
Nonproliferative diabetic retinopathy (disorder),122.96610169491525
Dislocated intraocular lens into vitreous (disorder),99.72413793103448
Vitreous floaters (disorder),110.0
Aponeurotic ptosis (disorder),113.50877192982456
Cataract in inflammatory disorder (disorder),168.23668639053255
Pseudostrabismus (disorder),113.7888198757764
Pseudophakic corneal edema (disorder),107.69565217391305
Full thickness macular hole stage III (disorder),95.5506329113924
Diabetic maculopathy (disorder),123.41025641025641
Capsular and subcapsular cataract (disorder),129.91503267973857
Giant retinal tear (disorder),96.57236842105263
Congenital ptosis (disorder),109.54605263157895
Angle closure (disorder),114.89403973509934
Postoperative uveitis (disorder),121.16556291390728
Consecutive exotropia (disorder),103.75167785234899
Acquired ptosis of eyelid (disorder),115.44295302013423
Chronic central serous chorioretinopathy (disorder),128.7248322147651
Subconjunctival hemorrhage (disorder),127.61744966442953
Bacterial conjunctivitis (disorder),144.60402684563758
Binocular vision disorder (disorder),89.0945945945946
Axial myopia (disorder),104.96527777777777
Conjunctival cyst (disorder),102.45833333333333
Moderate nonproliferative diabetic retinopathy (disorder),139.1118881118881
Blepharoconjunctivitis (disorder),142.61267605633802
Intumescent cataract (disorder),99.75714285714285
Papilloma of eyelid (disorder),109.73188405797102
Hemispheric retinal vein occlusion with macular edema (disorder),119.45985401459853
Anterior scleritis (disorder),173.5
Salzmann's nodular dystrophy (disorder),99.00751879699249
Corneal graft astigmatism (disorder),87.15037593984962
Dry eyes,171.8372093023256
Fuchs' heterochromic cyclitis (disorder),121.51937984496124
Secondary glaucoma due to combination mechanisms (disorder),167.496
Diabetic retinopathy associated with type II diabetes mellitus (disorder),129.20325203252034
Fibrovascular macular scar (disorder),107.39024390243902
Corneal foreign body (disorder),109.91056910569105
Uveitis (disorder),140.6747967479675
Combined traction and rhegmatogenous retinal detachment (disorder),108.41803278688525
Venous retinal branch occlusion (disorder),107.09917355371901
Proliferative diabetic retinopathy - high risk (disorder),131.41666666666666
Diabetic traction retinal detachment (disorder),118.33613445378151
Acquired nasolacrimal duct obstruction (disorder),100.05932203389831
Epiphora due to insufficient drainage (disorder),89.57758620689656
Corneal laceration (disorder),117.65217391304348
Nasolacrimal duct obstruction (disorder),96.0
eyelid lesion,128.7787610619469
Drusen stage macular degeneration (disorder),114.27678571428571
Pseudoexfoliation glaucoma (disorder),106.06306306306307
Decentered intraocular lens implant (disorder),126.55963302752293
Keratoconjunctivitis sicca (disorder),122.14814814814815
Convergent microtropia (disorder),111.93518518518519
Birdshot chorioretinitis (disorder),185.61111111111111
Retinal vasculitis (disorder),152.05607476635515
Anatomical narrow angle glaucoma (disorder),112.1214953271028
Rupture of globe (disorder),126.59813084112149
Limbal AND/OR corneal involvement in vernal conjunctivitis (disorder),109.12264150943396
Drusen of optic disc (disorder),169.91346153846155
Congenital posterior polar cataract (disorder),89.16504854368932
Senile cataract (disorder),118.05882352941177
Corneal ectasia (disorder),104.03960396039604
Open-angle glaucoma - borderline (disorder),106.99009900990099
Severe myopia (disorder),121.05
Hypotropia (disorder),110.03030303030303
Partially accommodative esotropia (disorder),119.62244897959184
Alternating esotropia (disorder),101.35714285714286
Alternating exotropia (disorder),103.83673469387755
Diabetic macular edema not clinically significant (disorder),126.0
Anisometropic amblyopia (disorder),107.26041666666667
Endophthalmitis (disorder),116.92631578947369
Malignant melanoma of eye (disorder),231.4787234042553
Central retinal vein occlusion - non-ischemic (disorder),112.03191489361703
Retinitis pigmentosa (disorder),111.15957446808511
Glaucoma associated with ocular inflammation (disorder),142.94623655913978
Myopic chorioretinal atrophy (disorder),103.63440860215054
Adult vitelliform macular dystrophy (disorder),105.30434782608695
Asteroid hyalosis (disorder),116.48913043478261
Intermittent alternating exotropia (disorder),112.1413043478261
Nuclear senile cataract (disorder),104.57608695652173
Cataract in systemic disorders (disorder),131.43956043956044
Cicatrizing conjunctivitis (disorder),121.17777777777778
Punctate inner choroidopathy (disorder),149.57303370786516
Degenerative drusen (disorder),111.28089887640449
Herpes simplex keratitis (disorder),117.85227272727273
Sarcoid uveitis (disorder),154.91954022988506
Blepharochalasis (disorder),103.183908045977
Episcleritis (disorder),136.67816091954023
Primary congenital glaucoma (disorder),133.34883720930233
Borderline glaucoma (disorder),90.02325581395348
Acquired esotropia (disorder),102.05813953488372
Vitritis (disorder),137.76470588235293
Bacterial keratitis (disorder),140.52941176470588
Corneal dystrophy (disorder),107.08235294117647
Hemispheric retinal vein occlusion (disorder),129.3855421686747
Corneal epithelial and basement membrane dystrophy (disorder),102.1566265060241
Subluxation of lens (disorder),105.09756097560975
Congenital esotropia (disorder),125.52439024390245
Macular branch retinal vein occlusion (disorder),121.0
Esophoria (disorder),104.8875
choroidal melanoma,300.43037974683546
Post-traumatic uveitis (disorder),137.74683544303798
Pinguecula (disorder),91.77215189873418
Branch retinal vein occlusion with neovascularization (disorder),107.51898734177215
Marginal keratitis (disorder),168.59493670886076
Residual esotropia (disorder),108.8076923076923
Strabismic amblyopia (disorder),125.85897435897436
Corneal graft disorder (disorder),103.1842105263158
Corneal ectasia due to laser in situ keratomileusis (disorder),116.13157894736842
Disorder of refraction (disorder),167.6315789473684
Atopic keratoconjunctivitis (disorder),173.91780821917808
Post-enucleation socket syndrome (disorder),131.93150684931507
Chronic blepharitis (disorder),125.94520547945206
Multifocal choroiditis (disorder),130.02739726027397
Visually significant corneal scar (disorder),101.625
Inferior oblique overaction (disorder),124.41666666666667
Anterior uveitis in juvenile idiopathic arthritis (disorder),158.97222222222223
Extrusion of scleral buckle (disorder),105.4225352112676
Acute conjunctivitis (disorder),117.94285714285714
Band-shaped keratopathy (disorder),106.32857142857142
Blunt injury of eye (disorder),109.02857142857142
Globe of eye shrunken (disorder),132.55714285714285
Coats' disease (disorder),121.92753623188406
Perforation of cornea (disorder),115.69565217391305
Penetrating wound of eye (disorder),127.0
"Keratoconus, stable condition (disorder)",106.22058823529412
Clinically significant macular edema (disorder),157.67164179104478
Drusen plus pigment change stage macular degeneration (disorder),117.65151515151516
Dislocation of lens (disorder),116.5909090909091
Suspicious lesion of the conjunctiva (disorder),124.9076923076923
Eyelid laceration with lid margin involvement (disorder),98.3076923076923
Ocular sarcoidosis (disorder),179.5
Anterior subcapsular cataract (disorder),91.140625
Corneal edema (disorder),122.140625
Occult choroidal neovascular membrane (disorder),111.47619047619048
Disorder of eye proper (disorder),178.23809523809524
Congenital keratoconus (disorder),99.54838709677419
Mixed diabetic maculopathy (disorder),123.31666666666666
Conjunctival laceration (disorder),134.88333333333333
Duane's syndrome (disorder),110.96610169491525
Stenosis of lacrimal punctum (disorder),119.57627118644068
Retinal macroaneurysm (disorder),127.47457627118644
Preproliferative diabetic retinopathy (disorder),124.93103448275862
Rubeosis iridis (disorder),185.70689655172413
Perennial allergic conjunctivitis (disorder),124.20689655172414
Superior oblique dysfunction (disorder),95.87931034482759
Constant accommodative esotropia (disorder),106.94827586206897
Atrophic macular change (disorder),105.51724137931035
Convergence excess esotropia (disorder),111.85964912280701
Acute central serous retinopathy with subretinal fluid (disorder),126.36842105263158
Acute hydrops keratoconus (disorder),119.7719298245614
Microphthalmos (disorder),104.33333333333333
Angioid streaks of choroid (disorder),107.64912280701755
Perforating scleral wound (disorder),130.64912280701753
Central retinal artery occlusion (disorder),153.92857142857142
Injury of globe of eye (disorder),129.76785714285714
Acute central serous chorioretinopathy (disorder),114.12727272727273
Retinal dialysis (disorder),96.87272727272727
Sensory exotropia (disorder),101.89090909090909
Chronic allergic conjunctivitis (disorder),140.92592592592592
Pellucid marginal corneal degeneration (disorder),120.07407407407408
Perforating corneoscleral wound (disorder),117.31481481481481
Eyelid laceration without lid margin involvement (disorder),97.88888888888889
Aphakia - no lens capsule (disorder),106.38888888888889
Pigmentary glaucoma (disorder),110.73584905660377
Limbal stem cell deficiency (disorder),134.49056603773585
Phlyctenular keratoconjunctivitis (disorder),165.11320754716982
Corneal scars and opacities (disorder),111.47169811320755
Familial exudative vitreoretinopathy (disorder),111.73584905660377
Rhegmatogenous retinal detachment (disorder),106.26923076923077
Acanthamoeba keratitis (disorder),124.84615384615384
Cortical senile cataract (disorder),97.92307692307692
Distance esotropia (disorder),116.84313725490196
Corneal melting disorder (disorder),141.58823529411765
Subcapsular cataract (disorder),130.02
Basal cell carcinoma of eyelid (disorder),111.22
Combined form of senile cataract (disorder),128.5
Hypertensive retinopathy (disorder),135.89795918367346
Exposure keratoconjunctivitis (disorder),157.26530612244898
Strabismus (disorder),163.08163265306123
Lower eyelid entropion (disorder),121.10204081632654
Axial hypermetropia (disorder),111.54166666666667
Intermittent esotropia (disorder),111.97916666666667
Hyphema (disorder),138.0625
Tear film insufficiency (disorder),119.22916666666667
Horseshoe retinal tear without detachment (disorder),82.04166666666667
Distance exotropia (disorder),105.27083333333333
Congenital aniridia (disorder),120.97872340425532
Classic choroidal neovascular membrane (disorder),118.8913043478261
Corneal ulcer (disorder),119.30434782608695
Herpes zoster ophthalmicus (disorder),126.41304347826087
Toxoplasmosis chorioretinitis (disorder),159.6086956521739
Chemical burn of eyelid AND/OR periocular area (disorder),190.3913043478261
macular hole-full thickness,108.97777777777777
Nevus of conjunctiva (disorder),118.13333333333334
Retinal round hole (disorder),101.86666666666666
Degenerative progressive high myopia (disorder),108.31111111111112
Retinal lattice degeneration (disorder),131.84444444444443
Abducens nerve palsy (disorder),133.47727272727272
Tilted optic disc (disorder),100.77272727272727
Recurrent pterygium (disorder),78.95454545454545
Sebaceous cyst of eyelid (disorder),93.88636363636364
Intraocular foreign body in vitreous (disorder),119.22727272727273
Optic neuritis (disorder),193.2325581395349
Full thickness macular hole stage II (disorder),91.13953488372093
Peripapillary choroidal neovascular membrane (disorder),113.23255813953489
Cystic dermoid choristoma of orbit (disorder),89.48837209302326
Traction retinal detachment involving macula (disorder),120.93023255813954
Residual exotropia (disorder),108.97674418604652
Sjogren's syndrome (disorder),113.30952380952381
Retinal pigment epithelial detachment (disorder),107.64285714285714
High risk proliferative diabetic retinopathy not amenable to photocoagulation (disorder),115.88095238095238
Anterior ischemic optic neuropathy (disorder),134.83333333333334
Herpes simplex eyelid dermatitis (disorder),180.23809523809524
Conjunctival foreign body (disorder),124.23809523809524
Panuveitis in Behcet's syndrome (disorder),170.4047619047619
Scleral rupture (disorder),124.33333333333333
Conjunctival intraepithelial neoplasia (disorder),138.88095238095238
Lower eyelid ectropion (disorder),125.95121951219512
"Keratoconjunctivitis sicca, in Sjogren's syndrome (disorder)",111.82926829268293
Disorder of eyelid (disorder),105.60975609756098
Idiopathic juxtafoveal telangiectasia (disorder),103.6829268292683
Hordeolum externum (disorder),163.29268292682926
Secondary exotropia (disorder),104.41463414634147
Anterior uveitis idiopathic (disorder),121.48780487804878
Hypotony of eye (disorder),115.35
Juvenile Open Angle Glaucoma (disorder),139.85
Reis-Bucklers' corneal dystrophy (disorder),99.825
Peripheral pterygium (disorder),87.5
Angle recession (disorder),120.575
Posterior synechiae (disorder),140.125
Chorioretinal scar (disorder),106.4
Benign neoplasm of eyelid including canthus (disorder),84.55
Fungal keratitis (disorder),126.7
Old partial retinal detachment (disorder),124.66666666666667
Vitreous opacities (disorder),130.64102564102564
Serous retinal detachment (disorder),109.94871794871794
Capsular cataract (disorder),112.64102564102564
Iris bombé (disorder),169.76923076923077
Meibomian gland dysfunction (disorder),162.97435897435898
Atopic conjunctivitis (disorder),120.94871794871794
Painful blind eye (disorder),117.58974358974359
Ischemic diabetic maculopathy (disorder),120.66666666666667
Chemical injury to cornea (disorder),136.6315789473684
Retraction of eyelid (disorder),105.23684210526316
Optic atrophy (disorder),137.81578947368422
Proliferative diabetic retinopathy - quiescent (disorder),133.10526315789474
Manifest convergent squint (disorder),83.73684210526316
Congenital nystagmus (disorder),145.72972972972974
Anterior dislocation of lens (disorder),106.13513513513513
Neurotrophic keratitis (disorder),132.86486486486487
Radiation retinopathy (disorder),156.9189189189189
Central retinal vein occlusion with neovascularization (disorder),152.45945945945945
Aqueous tear deficiency (disorder),138.32432432432432
Congenital anomaly of orbit proper (disorder),105.24324324324324
Cataract secondary to ocular disease (disorder),125.56756756756756
Acute esotropia (disorder),133.05555555555554
Orbital fat hernia (disorder),100.11111111111111
Vogt-Koyanagi-Harada disease (disorder),184.16666666666666
Coloboma of iris (disorder),133.94444444444446
Axial cataract (disorder),93.94444444444444
Brown's tendon sheath syndrome (disorder),113.52777777777777
Corticosteroid-induced glaucoma (disorder),140.6
Secondary open-angle glaucoma (disorder),131.25714285714287
"Low vision, both eyes (disorder)",131.25714285714287
Benign mucous membrane pemphigoid (disorder),110.11428571428571
Granular corneal dystrophy (disorder),98.08571428571429
Acute endophthalmitis (disorder),143.45714285714286
Irregular astigmatism - corneal (disorder),87.08571428571429
Adenoviral keratitis (disorder),113.48571428571428
Laceration of eyelid (disorder),144.6
Keratitis (disorder),116.6470588235294
Convergence insufficiency (disorder),130.73529411764707
Diabetic cataract associated with type I diabetes mellitus (disorder),157.35294117647058
Herpes simplex keratouveitis (disorder),160.94117647058823
Nystagmus (disorder),156.26470588235293
Commotio retinae (disorder),140.08823529411765
Conjunctival pigmentation (disorder),117.91176470588235
Aphakia - lens capsule present (disorder),94.39393939393939
Cataract in degenerative disorder (disorder),118.18181818181819
Ocular ischemic syndrome (disorder),137.3030303030303
Uveitic glaucoma (disorder),122.03030303030303
Ocular cicatricial pemphigoid (disorder),133.57575757575756
Scleritis (disorder),186.93939393939394
Severe nonproliferative diabetic retinopathy (disorder),203.87878787878788
Manifest divergent squint (disorder),107.48484848484848
Strabismus due to thyroid eye disease (disorder),98.8125
Posterior uveitis (disorder),154.625
Adherent cataract (disorder),85.71875
Posterior scleritis (disorder),187.34375
Phacodonesis (disorder),141.32258064516128
Lattice corneal dystrophy Type I (disorder),105.80645161290323
Full thickness eyelid laceration with lacrimal passage damage (disorder),99.96774193548387
Mechanical lagophthalmos (disorder),128.61290322580646
Punctate epithelial keratitis (disorder),132.29032258064515
Choroidal effusion (disorder),128.23333333333332
Malignant melanoma of conjunctiva (disorder),168.96666666666667
Idiopathic choroidal neovascular membrane (disorder),104.73333333333333
Stargardt's disease (disorder),128.03333333333333
Blepharospasm (disorder),100.6
Canalicular laceration (disorder),91.7
Corneal opacity (disorder),107.66666666666667
Has a squint (disorder),160.3793103448276
Benign tumor of eyelid (disorder),78.17241379310344
Ocular rosacea (disorder),121.82758620689656
Congenital hypertrophy of retinal pigment epithelium (disorder),94.79310344827586
Acute dacryocystitis (disorder),110.48275862068965
Pyogenic granuloma (disorder),100.93103448275862
Acute retinal necrosis (disorder),168.20689655172413
Foreign body under eyelid (disorder),145.53571428571428
Alternating exotropia with V pattern (disorder),114.71428571428571
Autosomal recessive retinitis pigmentosa (disorder),128.28571428571428
Presbyopia (disorder),125.64285714285714
Papilledema - optic disc edema due to raised intracranial pressure (disorder),170.85714285714286
Parafoveal telangiectasia (disorder),120.82142857142857
Dacryocystitis (disorder),111.96428571428571
Hereditary macular dystrophy (disorder),122.14814814814815
Esotropia with accommodative compensation (disorder),131.37037037037038
Corneal endothelial dystrophy (disorder),81.62962962962963
Double pterygium (disorder),77.14814814814815
Stenosis of nasolacrimal duct (disorder),165.92592592592592
Congenital blue dot cataract (disorder),84.96296296296296
Old total retinal detachment (disorder),119.29629629629629
Giant cell arteritis (disorder),197.69230769230768
Detachment of Descemet's membrane (disorder),84.26923076923077
Angle recession glaucoma (disorder),102.07692307692308
Neoplasm of conjunctiva (disorder),126.84615384615384
Nevus of iris (disorder),162.53846153846155
Inactive toxoplasmosis chorioretinitis (disorder),130.84615384615384
Retinal detachment - subretinal fluid (disorder),101.88461538461539
Corneal neovascularization (disorder),103.46153846153847
Multifocal choroiditis and panuveitis syndrome (disorder),167.16
Central corneal ulcer (disorder),123.6
Phlyctenular conjunctivitis (disorder),88.28
Contusion (disorder),182.76
Lacrimal mucocele (disorder),125.68
Subhyaloid hemorrhage (disorder),109.84
After-cataract (disorder),93.88
On examination - lens - early opacity (disorder),97.36
Vernal conjunctivitis (disorder),123.24
Advanced diabetic maculopathy (disorder),117.04
Pseudopterygium (disorder),97.66666666666667
Phacomorphic glaucoma (disorder),144.625
eye trauma -closed,172.33333333333334
Blind right eye (disorder),128.75
Advanced diabetic retinal disease (disorder),166.41666666666666
Papilloma of conjunctiva (disorder),97.125
Herpes simplex dendritic keratitis (disorder),129.20833333333334
Disorder of intraocular pressure (disorder),104.45833333333333
Benign mucous membrane pemphigoid with ocular involvement (disorder),138.33333333333334
Suprachoroidal hemorrhage (disorder),130.58333333333334
Non-high-risk proliferative diabetic retinopathy with no macular edema (disorder),133.08333333333334
Absolute glaucoma (disorder),117.25
Malignant melanoma (disorder),252.29166666666666
Unilateral swollen optic disc,191.5
Sickle cell retinopathy (disorder),138.56521739130434
Floppy lid syndrome (disorder),132.1304347826087
Contact lens related corneal infiltrate (disorder),103.73913043478261
Open angle with cupping of optic discs (disorder),116.8695652173913
Conjunctivitis (disorder),108.6086956521739
Multiple evanescent white dot syndrome (disorder),153.7391304347826
Penetrating injury by sharp object (disorder),134.69565217391303
Retinoschisis (disorder),125.91304347826087
Glaucoma associated with ocular trauma (disorder),125.8695652173913
Facial palsy (disorder),118.43478260869566
Retinal pigment epithelial abnormality (disorder),106.69565217391305
Malignant melanoma of ciliary body (disorder),381.1304347826087
Cyst of Zeiss (disorder),87.0909090909091
Steroid-induced glaucoma - borderline (disorder),176.6818181818182
Temporal arteritis (disorder),141.0909090909091
Constant squint (disorder),119.22727272727273
Inactive central serous chorioretinopathy (disorder),119.63636363636364
On examination - vitreous hemorrhages (disorder),99.54545454545455
Open angle with borderline findings (disorder),68.22727272727273
Impending macular hole (disorder),109.63636363636364
On examination - ptosis (disorder),96.31818181818181
Partial third nerve palsy (disorder),112.81818181818181
Granuloma of eyelid (disorder),80.0
Macular retinoschisis (disorder),135.4090909090909
Congenital blocked tear duct (disorder),91.54545454545455
Stevens-Johnson syndrome (disorder),132.72727272727272
Disorder of lacrimal gland (disorder),120.81818181818181
Posterior subcapsular polar senile cataract (disorder),90.68181818181819
Double vision with both eyes open (disorder),127.19047619047619
Childhood Glaucoma Associated with Acquired Condition (disorder),163.61904761904762
Central serous retinopathy with small retinal pigment epithelial detachment (disorder),140.1904761904762
Consecutive esotropia (disorder),96.9047619047619
Oculocutaneous albinism (disorder),111.38095238095238
Macular retinal edema (disorder),142.33333333333334
Nodular scleritis (disorder),149.04761904761904
Focal diabetic maculopathy (disorder),124.28571428571429
Anterior subcapsular polar cataract (disorder),104.38095238095238
Glaucoma due to silicon oil (disorder),121.71428571428571
Aqueous humor misdirect (disorder),145.28571428571428
Retinopathy of prematurity (disorder),112.0952380952381
Lipid keratopathy (disorder),104.42857142857143
Steroid-induced glaucoma glaucomatous stage (disorder),160.14285714285714
Herpes simplex disciform keratitis (disorder),118.23809523809524
Old subtotal retinal detachment (disorder),138.6
Alkaline chemical burn of cornea and conjunctival sac (disorder),133.7
Mixed type cataract (disorder),100.05
Retained soft lens matter in vitreous (disorder),101.5
Regular astigmatism (disorder),106.5
Dacryoadenitis (disorder),143.95
Convergence excess (disorder),88.05
Diabetic retinopathy associated with type I diabetes mellitus (disorder),136.95
Dry eye after laser in situ keratomileusis (disorder),114.1
Vitreous strands (disorder),117.3
"Peripheral pterygium, progressive (disorder)",76.0
optic disc swelling,216.1
Macular pseudohole (disorder),126.78947368421052
On examination - skin lesion (disorder),79.05263157894737
Conjunctival melanosis (disorder),101.73684210526316
Irregular astigmatism (disorder),146.89473684210526
Benign neoplasm of skin of eyelid (disorder),81.52631578947368
Eales' disease (disorder),129.94736842105263
Hemangioma of choroid (disorder),196.94736842105263
Traumatic mydriasis (disorder),123.05263157894737
Peripheral drusen (disorder),123.63157894736842
"Lattice corneal dystrophy, isolated form (disorder)",101.05263157894737
Functional visual loss (disorder),197.0
Molluscum contagiosum with eyelid involvement (disorder),98.6842105263158
Posterior polymorphous corneal dystrophy (disorder),106.57894736842105
Conjunctivochalasis (disorder),94.42105263157895
Abscess of eyelid (disorder),114.5
Neonatal conjunctivitis (disorder),103.72222222222223
Disorder of intraocular lens (disorder),131.38888888888889
Anisocoria (disorder),155.05555555555554
Punctal ectropion (disorder),118.72222222222223
Dissociated vertical deviation (disorder),99.38888888888889
Anterior capsule opacification (disorder),106.94444444444444
Spontaneous subluxation of lens (disorder),104.66666666666667
Filamentary keratitis (disorder),134.61111111111111
Opacification of intraocular lens (disorder),116.72222222222223
Meibomianitis (disorder),139.66666666666666
Perforated corneal ulcer (disorder),137.11764705882354
Total third nerve palsy (disorder),115.88235294117646
Vitreous prolapse (disorder),131.47058823529412
Toxoplasma retinitis (disorder),171.58823529411765
Chemical injury to conjunctiva (disorder),96.76470588235294
Mechanical complication due to corneal graft (disorder),89.94117647058823
Manifest vertical squint (disorder),114.29411764705883
Non-arteritic ischemic optic neuropathy (disorder),151.1764705882353
Primary acute angle-closure glaucoma (disorder),153.05882352941177
congenital glaucoma,205.94117647058823
Cicatricial ectropion (disorder),132.23529411764707
Chronic dacryoadenitis (disorder),116.0
Dehiscence of surgical wound (disorder),126.17647058823529
Traumatic wound dehiscence (disorder),119.41176470588235
Blind left eye (disorder),118.47058823529412
Corticosteroid induced cataract (disorder),118.52941176470588
Papillary conjunctivitis (disorder),110.41176470588235
Distichiasis (disorder),102.70588235294117
Secondary hypotony of eye (disorder),135.05882352941177
Disorder of lens (disorder),100.29411764705883
Granuloma of conjunctiva (disorder),119.88235294117646
Divergent microtropia (disorder),120.23529411764706
Benign neoplasm of conjunctiva (disorder),87.41176470588235
Retinal dystrophy (disorder),156.0
Molluscum contagiosum infection (disorder),190.1764705882353
Myogenic ptosis (disorder),120.5
